amendment_id,amendment_ts,applicant_id,field_code,field_label,old_value,new_value,workstation_id,source_document,requires_cert,counter_log_ref,notes
AMD-000572,2023-03-05,WL-01189,YEAR_BUILT,Year Built,1968,1968,HB-COUNTER-2,registration,N,day log 2023-03-05,
AMD-000573,2023-03-06,WL-01421,HULL_MATERIAL,Hull Material,POWER_INBOARD,SAIL_MONO,HB-COUNTER-2,insurance decl page,N,day log 2023-03-06,
AMD-000574,2023-03-07,WL-01891,VESSEL_NAME,Vessel Name,PETREL SONG,HALIBUT ROCK,HB-COUNTER-2,bill of sale,N,day log 2023-03-07,
AMD-000575,2023-03-08,WL-03762,OWNER_NAME,Owner Name,CRUISER,SPORTFISH,HB-COUNTER-2,insurance decl page,N,day log 2023-03-08,
AMD-000576,2023-03-10,WL-02075,ENGINE_MAKE,Engine Make / Model,POWER_STERNDRIVE,TRAWLER,HB-COUNTER-2,insurance decl page,N,day log 2023-03-10,
AMD-000577,2023-03-10,WL-03685,VESSEL_NAME,Vessel Name,WIDGEON WEATHER,SEAL WAKE,HB-COUNTER-2,registration,N,day log 2023-03-10,
AMD-000578,2023-03-10,WL-03089,OFFICIAL_NUM,Official Number / Registration,916579,984652,HB-COUNTER-2,driver's license,N,day log 2023-03-10,
AMD-000579,2023-03-10,WL-03043,OFFICIAL_NUM,Official Number / Registration,755143,548618,HB-COUNTER-2,owner declaration at counter,N,day log 2023-03-10,
AMD-000580,2023-03-11,WL-03115,LOA,Length Overall (LOA),53.7,51.8,HB-COUNTER-2,MC-2023-0485,Y,day log 2023-03-11,
AMD-000581,2023-03-12,WL-02500,NET_TONNAGE,Net Tonnage (NT),4.4,4.4,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-03-05,Y,day log 2023-03-12,
AMD-000582,2023-03-12,WL-03909,YEAR_BUILT,Year Built,1996,1996,HB-COUNTER-2,,N,day log 2023-03-12,
AMD-000583,2023-03-13,WL-02032,OWNER_NAME,Owner Name,US,US,HB-COUNTER-2,driver's license,N,day log 2023-03-13,
AMD-000584,2023-03-14,WL-03617,LOA,Length Overall (LOA),25.5,26.7,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-09-09,Y,day log 2023-03-14,
AMD-000585,2023-03-15,WL-03119,NET_TONNAGE,Net Tonnage (NT),10.3,11.4,HB-COUNTER-2,MC-2023-0874,Y,day log 2023-03-15,
AMD-000586,2023-03-16,WL-02424,ENGINE_MAKE,Engine Make / Model,US,COMMERCIAL_FISH,HB-COUNTER-2,registration,N,day log 2023-03-16,
AMD-000587,2023-03-16,WL-03492,PROPULSION_TYPE,Propulsion Type,US,SAIL_MONO,HB-COUNTER-2,registration,N,day log 2023-03-16,
AMD-000588,2023-03-17,WL-02215,FLAG,Flag State,WOOD,US,HB-COUNTER-2,registration,N,day log 2023-03-17,
AMD-000589,2023-03-17,WL-03216,HULL_MATERIAL,Hull Material,POWER_INBOARD,SAIL_MONO,HB-COUNTER-2,insurance decl page,N,day log 2023-03-17,
AMD-000590,2023-03-19,WL-02907,VESSEL_NAME,Vessel Name,KESTREL BAY,SABLE WAKE,HB-COUNTER-2,bill of sale,N,day log 2023-03-19,
AMD-000591,2023-03-19,WL-03709,HIN,Hull Identification Number,CHD30104V745,CHD39483A234,HB-COUNTER-2,insurance decl page,N,day log 2023-03-19,
AMD-000592,2023-03-19,WL-01522,VESSEL_NAME,Vessel Name,KESTREL STAR,SCOTER WIND,HB-COUNTER-2,bill of sale,N,day log 2023-03-19,
AMD-000593,2023-03-19,WL-03294,HULL_MATERIAL,Hull Material,SAIL_MONO,US,HB-COUNTER-2,registration,N,day log 2023-03-19,
AMD-000594,2023-03-20,WL-03859,BEAM,Beam (Width),9.1,9.8,HB-COUNTER-2,MC-2023-0319,Y,day log 2023-03-20,
AMD-000595,2023-03-21,WL-01845,FLAG,Flag State,POWER_STERNDRIVE,SPORTFISH,HB-COUNTER-2,owner declaration at counter,N,day log 2023-03-21,
AMD-000596,2023-03-21,WL-01172,NET_TONNAGE,Net Tonnage (NT),28.7,29.2,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-02-04,Y,day log 2023-03-21,
AMD-000597,2023-03-22,WL-02052,VESSEL_NAME,Vessel Name,SPINDRIFT MIST,HALIBUT LIGHT,HB-COUNTER-2,,N,day log 2023-03-22,
AMD-000598,2023-03-23,WL-02343,ENGINE_HP,Engine Horsepower,210,330,HB-COUNTER-2,driver's license,N,day log 2023-03-23,
AMD-000599,2023-03-24,WL-01476,BEAM,Beam (Width),13.3,13.4,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-09-04,Y,day log 2023-03-24,
AMD-000600,2023-03-24,WL-02311,HIN,Hull Identification Number,CHD61771H767,CHD65744Y462,HB-COUNTER-2,owner declaration at counter,N,day log 2023-03-24,
AMD-000601,2023-03-25,WL-01670,LOA,Length Overall (LOA),28.8,29.6,HB-COUNTER-2,MC-2023-0255,Y,day log 2023-03-25,
AMD-000602,2023-03-26,WL-02603,PROPULSION_TYPE,Propulsion Type,CRUISER,US,HB-COUNTER-2,owner declaration at counter,N,day log 2023-03-26,
AMD-000603,2023-03-26,WL-03412,BUILD_LOCATION,Build Location / Yard,TRAWLER,US,HB-COUNTER-2,,N,day log 2023-03-26,
AMD-000604,2023-03-26,WL-01830,VESSEL_NAME,Vessel Name,BRANT ROSE,SEAL REACH,HB-COUNTER-2,driver's license,N,day log 2023-03-26,
AMD-000605,2023-03-26,WL-02870,ENGINE_HP,Engine Horsepower,250,150,HB-COUNTER-2,owner declaration at counter,N,day log 2023-03-26,
AMD-000606,2023-03-27,WL-03036,HIN,Hull Identification Number,CHD24943X441,CHD43927S560,HB-COUNTER-2,driver's license,N,day log 2023-03-27,
AMD-000607,2023-03-27,WL-01489,GROSS_TONNAGE,Gross Tonnage (GT),24.9,22.9,HB-COUNTER-2,MC-2023-0371,Y,day log 2023-03-27,
AMD-000608,2023-04-02,WL-02665,BUILD_LOCATION,Build Location / Yard,POWER_STERNDRIVE,ALUMINUM,HB-COUNTER-2,driver's license,N,day log 2023-04-02,
AMD-000609,2023-04-05,WL-01401,NET_TONNAGE,Net Tonnage (NT),10.8,11.8,HB-COUNTER-2,MC-2023-0815,Y,day log 2023-04-05,
AMD-000610,2023-04-07,WL-02695,LOA,Length Overall (LOA),52.1,52.5,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-11-25,Y,day log 2023-04-07,
AMD-000611,2023-04-07,WL-03052,PROPULSION_TYPE,Propulsion Type,FIBERGLASS,CA,HB-COUNTER-2,driver's license,N,day log 2023-04-07,
AMD-000612,2023-04-07,WL-03625,BEAM,Beam (Width),13.8,14.4,HB-COUNTER-2,MC-2023-0236,Y,day log 2023-04-07,
AMD-000613,2023-04-10,WL-01197,GROSS_TONNAGE,Gross Tonnage (GT),5.7,6.9,HB-COUNTER-2,MC-2023-0470,Y,day log 2023-04-10,
AMD-000614,2023-04-10,WL-03726,HULL_MATERIAL,Hull Material,WOOD,SAIL_MULTI,HB-COUNTER-2,bill of sale,N,day log 2023-04-10,
AMD-000615,2023-04-12,WL-01509,HIN,Hull Identification Number,CHD15401V104,CHD94434F469,HB-COUNTER-2,bill of sale,N,day log 2023-04-12,
AMD-000616,2023-04-12,WL-01729,BEAM,Beam (Width),14.8,15.8,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-02-18,Y,day log 2023-04-12,
AMD-000617,2023-04-14,WL-03056,OFFICIAL_NUM,Official Number / Registration,891167,972557,HB-COUNTER-2,owner declaration at counter,N,day log 2023-04-14,
AMD-000618,2023-04-14,WL-02338,BUILD_LOCATION,Build Location / Yard,ALUMINUM,FOAM_CORE,HB-COUNTER-2,registration,N,day log 2023-04-14,
AMD-000619,2023-04-15,WL-02826,PROPULSION_TYPE,Propulsion Type,SAIL_MULTI,ALUMINUM,HB-COUNTER-2,,N,day log 2023-04-15,
AMD-000620,2023-04-15,WL-01334,FLAG,Flag State,ELECTRIC,FIBERGLASS,HB-COUNTER-2,insurance decl page,N,day log 2023-04-15,
AMD-000621,2023-04-16,WL-02671,BUILD_LOCATION,Build Location / Yard,CA,FIBERGLASS,HB-COUNTER-2,driver's license,N,day log 2023-04-16,
AMD-000622,2023-04-17,WL-01153,DRAFT,Draft (Depth),4.2,4.4,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-12-06,Y,day log 2023-04-17,
AMD-000623,2023-04-18,WL-02155,VESSEL_NAME,Vessel Name,SPIRIT OF ALDA,ALDA MARIE,HB-COUNTER-2,bill of sale,N,day log 2023-04-18,
AMD-000624,2023-04-19,WL-02958,PROPULSION_TYPE,Propulsion Type,FOAM_CORE,WOOD,HB-COUNTER-2,registration,N,day log 2023-04-19,
AMD-000625,2023-04-19,WL-01298,PROPULSION_TYPE,Propulsion Type,POWER_STERNDRIVE,ELECTRIC,HB-COUNTER-2,bill of sale,N,day log 2023-04-19,
AMD-000626,2023-04-19,WL-02227,NET_TONNAGE,Net Tonnage (NT),8.7,6.9,HB-COUNTER-2,MC-2023-0736,Y,day log 2023-04-19,
AMD-000627,2023-04-22,WL-01438,LOA,Length Overall (LOA),21.7,21.3,HB-COUNTER-2,MC-2023-0423,Y,day log 2023-04-22,
AMD-000628,2023-04-22,WL-02270,GROSS_TONNAGE,Gross Tonnage (GT),13.3,13.9,HB-COUNTER-2,MC-2023-0444,Y,day log 2023-04-22,
AMD-000629,2023-04-23,WL-02482,VESSEL_NAME,Vessel Name,TIDE GLIDE,SANDERLING ANN,HB-COUNTER-2,driver's license,N,day log 2023-04-23,
AMD-000630,2023-04-24,WL-03432,HIN,Hull Identification Number,CHD66360H612,CHD15562H367,HB-COUNTER-2,insurance decl page,N,day log 2023-04-24,
AMD-000631,2023-04-24,WL-02593,YEAR_BUILT,Year Built,2013,2013,HB-COUNTER-2,owner declaration at counter,N,day log 2023-04-24,
AMD-000632,2023-04-24,WL-02128,PROPULSION_TYPE,Propulsion Type,FIBERGLASS,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2023-04-24,
AMD-000633,2023-04-25,WL-03470,GROSS_TONNAGE,Gross Tonnage (GT),22.9,22.0,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-02-24,Y,day log 2023-04-25,
AMD-000634,2023-04-26,WL-02482,YEAR_BUILT,Year Built,1975,1975,HB-COUNTER-2,,N,day log 2023-04-26,
AMD-000635,2023-04-27,WL-02209,BUILD_LOCATION,Build Location / Yard,POWER_OUTBOARD,US,HB-COUNTER-2,insurance decl page,N,day log 2023-04-27,
AMD-000636,2023-04-27,WL-03748,OFFICIAL_NUM,Official Number / Registration,617816,516251,HB-COUNTER-2,bill of sale,N,day log 2023-04-27,
AMD-000637,2023-04-27,WL-01482,VESSEL_NAME,Vessel Name,FOUL RUNNER,KESTREL MIST,HB-COUNTER-2,,N,day log 2023-04-27,
AMD-000638,2023-04-28,WL-03249,BUILD_LOCATION,Build Location / Yard,COMMERCIAL_FISH,SPORTFISH,HB-COUNTER-2,,N,day log 2023-04-28,
AMD-000639,2023-04-28,WL-02703,BUILD_LOCATION,Build Location / Yard,CA,SAIL_MULTI,HB-COUNTER-2,driver's license,N,day log 2023-04-28,
AMD-000640,2023-04-29,WL-01049,GROSS_TONNAGE,Gross Tonnage (GT),36.5,35.4,HB-COUNTER-2,MC-2023-0120,Y,day log 2023-04-29,
AMD-000641,2023-04-29,WL-02981,HIN,Hull Identification Number,CHD62583H483,CHD98424D146,HB-COUNTER-2,owner declaration at counter,N,day log 2023-04-29,
AMD-000642,2023-04-30,WL-02253,GROSS_TONNAGE,Gross Tonnage (GT),9.4,8.2,HB-COUNTER-2,MC-2023-0621,Y,day log 2023-04-30,
AMD-000643,2023-05-01,WL-01166,PROPULSION_TYPE,Propulsion Type,POWER_OUTBOARD,POWER_INBOARD,HB-COUNTER-2,insurance decl page,N,day log 2023-05-01,
AMD-000644,2023-05-01,WL-01133,OWNER_ADDRESS,Owner Address,"339 Catherine Meadow, Newport, OR","9712 Claudia Via, Coos Bay, OR",HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-01,
AMD-000645,2023-05-03,WL-03200,PROPULSION_TYPE,Propulsion Type,CRUISER,SPORTFISH,HB-COUNTER-2,driver's license,N,day log 2023-05-03,
AMD-000646,2023-05-04,WL-02496,LOA,Length Overall (LOA),24.2,24.3,HB-COUNTER-2,,Y,day log 2023-05-04,
AMD-000647,2023-05-05,WL-01756,FLAG,Flag State,CRUISER,ALUMINUM,HB-COUNTER-2,insurance decl page,N,day log 2023-05-05,
AMD-000648,2023-05-05,WL-03511,ENGINE_HP,Engine Horsepower,375,330,HB-COUNTER-2,registration,N,day log 2023-05-05,
AMD-000649,2023-05-06,WL-02439,OWNER_NAME,Owner Name,US,FIBERGLASS,HB-COUNTER-2,insurance decl page,N,day log 2023-05-06,
AMD-000650,2023-05-06,WL-01587,HULL_MATERIAL,Hull Material,FIBERGLASS,POWER_INBOARD,HB-COUNTER-2,driver's license,N,day log 2023-05-06,
AMD-000651,2023-05-07,WL-03454,FLAG,Flag State,ALUMINUM,SPORTFISH,HB-COUNTER-2,insurance decl page,N,day log 2023-05-07,
AMD-000652,2023-05-08,WL-03199,VESSEL_NAME,Vessel Name,WIDGEON SHORE,KESTREL MOON,HB-COUNTER-2,driver's license,N,day log 2023-05-08,
AMD-000653,2023-05-09,WL-03304,VESSEL_NAME,Vessel Name,PINTAIL SHORE,MURRE WEATHER,HB-COUNTER-2,bill of sale,N,day log 2023-05-09,
AMD-000654,2023-05-09,WL-03536,ENGINE_MAKE,Engine Make / Model,CRUISER,POWER_OUTBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-09,
AMD-000655,2023-05-10,WL-03036,VESSEL_NAME,Vessel Name,SEAL ROCK,BRANT HARBOR,HB-COUNTER-2,driver's license,N,day log 2023-05-10,
AMD-000656,2023-05-11,WL-01983,PROPULSION_TYPE,Propulsion Type,SAIL_MULTI,TRAWLER,HB-COUNTER-2,bill of sale,N,day log 2023-05-11,
AMD-000657,2023-05-12,WL-03547,HULL_MATERIAL,Hull Material,SAIL_MONO,POWER_INBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-12,
AMD-000658,2023-05-15,WL-02849,VESSEL_TYPE,Vessel Type,SAIL_MONO,POWER_INBOARD,HB-COUNTER-2,registration,N,day log 2023-05-15,
AMD-000659,2023-05-15,WL-02411,ENGINE_MAKE,Engine Make / Model,ALUMINUM,POWER_STERNDRIVE,HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-15,
AMD-000660,2023-05-15,WL-02096,OWNER_NAME,Owner Name,CRUISER,CRUISER,HB-COUNTER-2,registration,N,day log 2023-05-15,
AMD-000661,2023-05-21,WL-02263,LOA,Length Overall (LOA),54.0,53.9,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-04-18,Y,day log 2023-05-21,
AMD-000662,2023-05-21,WL-02278,LOA,Length Overall (LOA),44.4,44.9,HB-COUNTER-2,MC-2023-0309,Y,day log 2023-05-21,
AMD-000663,2023-05-22,WL-03258,ENGINE_MAKE,Engine Make / Model,STEEL,FOAM_CORE,HB-COUNTER-2,insurance decl page,N,day log 2023-05-22,
AMD-000664,2023-05-22,WL-02106,HIN,Hull Identification Number,CHD75691M762,CHD99587J276,HB-COUNTER-2,,N,day log 2023-05-22,
AMD-000665,2023-05-23,WL-01028,NET_TONNAGE,Net Tonnage (NT),28.1,29.3,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-01-27,Y,day log 2023-05-23,
AMD-000666,2023-05-24,WL-03157,YEAR_BUILT,Year Built,1982,1982,HB-COUNTER-2,driver's license,N,day log 2023-05-24,
AMD-000667,2023-05-26,WL-03164,ENGINE_MAKE,Engine Make / Model,SPORTFISH,FOAM_CORE,HB-COUNTER-2,driver's license,N,day log 2023-05-26,
AMD-000668,2023-05-27,WL-01355,BUILD_LOCATION,Build Location / Yard,SPORTFISH,HOUSEBOAT,HB-COUNTER-2,,N,day log 2023-05-27,
AMD-000669,2023-05-27,WL-02354,NET_TONNAGE,Net Tonnage (NT),35.2,35.4,HB-COUNTER-2,MC-2023-0828,Y,day log 2023-05-27,
AMD-000670,2023-05-28,WL-03267,GROSS_TONNAGE,Gross Tonnage (GT),31.4,33.3,HB-COUNTER-2,MC-2023-0841,Y,day log 2023-05-28,
AMD-000671,2023-05-29,WL-01079,HULL_MATERIAL,Hull Material,WOOD,POWER_INBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-29,
AMD-000672,2023-05-29,WL-01258,NET_TONNAGE,Net Tonnage (NT),5.7,7.2,HB-COUNTER-2,,Y,day log 2023-05-29,
AMD-000673,2023-05-29,WL-02760,VESSEL_TYPE,Vessel Type,POWER_STERNDRIVE,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2023-05-29,
AMD-000674,2023-05-31,WL-02233,DRAFT,Draft (Depth),7.0,7.4,HB-COUNTER-2,MC-2023-0530,Y,day log 2023-05-31,
AMD-000675,2023-05-31,WL-03084,PROPULSION_TYPE,Propulsion Type,POWER_STERNDRIVE,CRUISER,HB-COUNTER-2,bill of sale,N,day log 2023-05-31,
AMD-000676,2023-06-01,WL-02507,YEAR_BUILT,Year Built,1970,1970,HB-COUNTER-2,insurance decl page,N,day log 2023-06-01,
AMD-000677,2023-06-01,WL-02264,BUILD_LOCATION,Build Location / Yard,SAIL_MONO,SAIL_MONO,HB-COUNTER-2,registration,N,day log 2023-06-01,
AMD-000678,2023-06-02,WL-02811,ENGINE_HP,Engine Horsepower,375,85,HB-COUNTER-2,bill of sale,N,day log 2023-06-02,
AMD-000679,2023-06-02,WL-03767,NET_TONNAGE,Net Tonnage (NT),22.1,21.2,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-10-06,Y,day log 2023-06-02,
AMD-000680,2023-06-03,WL-01894,HIN,Hull Identification Number,CHD15915V266,CHD71328M319,HB-COUNTER-2,registration,N,day log 2023-06-03,
AMD-000681,2023-06-04,WL-01905,DRAFT,Draft (Depth),3.5,3.8,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-05-18,Y,day log 2023-06-04,
AMD-000682,2023-06-04,WL-02641,LOA,Length Overall (LOA),35.5,37.5,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-12-15,Y,day log 2023-06-04,
AMD-000683,2023-06-04,WL-01923,YEAR_BUILT,Year Built,1991,1991,HB-COUNTER-2,bill of sale,N,day log 2023-06-04,
AMD-000684,2023-06-04,WL-02172,YEAR_BUILT,Year Built,1986,1986,HB-COUNTER-2,registration,N,day log 2023-06-04,
AMD-000685,2023-06-05,WL-01434,BUILD_LOCATION,Build Location / Yard,POWER_OUTBOARD,POWER_OUTBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-06-05,
AMD-000686,2023-06-05,WL-02263,NET_TONNAGE,Net Tonnage (NT),4.2,4.7,HB-COUNTER-2,MC-2023-0132,Y,day log 2023-06-05,
AMD-000687,2023-06-07,WL-03486,HULL_MATERIAL,Hull Material,FIBERGLASS,WOOD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-06-07,
AMD-000688,2023-06-07,WL-03696,ENGINE_MAKE,Engine Make / Model,POWER_STERNDRIVE,SAIL_MULTI,HB-COUNTER-2,insurance decl page,N,day log 2023-06-07,
AMD-000689,2023-06-07,WL-03884,ENGINE_HP,Engine Horsepower,110,110,HB-COUNTER-2,bill of sale,N,day log 2023-06-07,
AMD-000690,2023-06-08,WL-03754,PROPULSION_TYPE,Propulsion Type,CRUISER,SAIL_MONO,HB-COUNTER-2,owner declaration at counter,N,day log 2023-06-08,
AMD-000691,2023-06-08,WL-03455,LOA,Length Overall (LOA),36.5,39.0,HB-COUNTER-2,MC-2023-0192,Y,day log 2023-06-08,
AMD-000692,2023-06-08,WL-01326,VESSEL_NAME,Vessel Name,SCOTER LINE,POINT SHORE,HB-COUNTER-2,driver's license,N,day log 2023-06-08,
AMD-000693,2023-06-09,WL-03034,FLAG,Flag State,TRAWLER,ELECTRIC,HB-COUNTER-2,registration,N,day log 2023-06-09,
AMD-000694,2023-06-09,WL-03698,LOA,Length Overall (LOA),38.0,37.8,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2022-10-31,Y,day log 2023-06-09,
AMD-000695,2023-06-09,WL-03653,VESSEL_NAME,Vessel Name,HALIBUT GLIDE,ANCHOR ROSE,HB-COUNTER-2,registration,N,day log 2023-06-09,
AMD-000696,2023-06-11,WL-01799,BEAM,Beam (Width),13.5,12.8,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-04-03,Y,day log 2023-06-11,
AMD-000697,2023-06-11,WL-01434,FLAG,Flag State,ALUMINUM,WOOD,HB-COUNTER-2,,N,day log 2023-06-11,
AMD-000698,2023-06-12,WL-03684,OWNER_NAME,Owner Name,FOAM_CORE,POWER_INBOARD,HB-COUNTER-2,,N,day log 2023-06-12,
AMD-000699,2023-06-14,WL-02678,VESSEL_NAME,Vessel Name,SCOTER GLIDE,KESTREL REACH,HB-COUNTER-2,insurance decl page,N,day log 2023-06-14,
AMD-000700,2023-06-15,WL-03107,GROSS_TONNAGE,Gross Tonnage (GT),17.7,18.1,HB-COUNTER-2,MC-2023-0389,Y,day log 2023-06-15,
AMD-000701,2023-06-16,WL-03794,HIN,Hull Identification Number,CHD84447Z811,CHD51478T594,HB-COUNTER-2,driver's license,N,day log 2023-06-16,
AMD-000702,2023-06-16,WL-01500,FLAG,Flag State,POWER_OUTBOARD,HOUSEBOAT,HB-COUNTER-2,driver's license,N,day log 2023-06-16,
AMD-000703,2023-06-17,WL-01120,OWNER_NAME,Owner Name,COMMERCIAL_FISH,POWER_INBOARD,HB-COUNTER-2,owner declaration at counter,N,day log 2023-06-17,
AMD-000704,2023-06-17,WL-03672,OWNER_ADDRESS,Owner Address,"2744 Jacobs Court, Portland, OR","7752 Ramos Fall, Newport, OR",HB-COUNTER-2,insurance decl page,N,day log 2023-06-17,
AMD-000705,2023-06-18,WL-02747,LOA,Length Overall (LOA),53.3,51.8,HB-COUNTER-2,MC-2023-0222,Y,day log 2023-06-18,
AMD-000706,2023-06-18,WL-01981,BEAM,Beam (Width),13.1,13.7,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-05-05,Y,day log 2023-06-18,
AMD-000707,2023-06-19,WL-02472,YEAR_BUILT,Year Built,1976,1976,HB-COUNTER-2,driver's license,N,day log 2023-06-19,
AMD-000708,2023-06-20,WL-02453,YEAR_BUILT,Year Built,2005,2005,HB-COUNTER-2,registration,N,day log 2023-06-20,
AMD-000709,2023-06-20,WL-01302,LOA,Length Overall (LOA),25.2,26.6,HB-COUNTER-2,MC-2023-0266,Y,day log 2023-06-20,
AMD-000710,2023-06-22,WL-01594,HIN,Hull Identification Number,CHD72471U387,CHD74438M298,HB-COUNTER-2,insurance decl page,N,day log 2023-06-22,
AMD-000711,2023-06-23,WL-02863,VESSEL_NAME,Vessel Name,FOUL ROCK,GRAY BAY,HB-COUNTER-2,bill of sale,N,day log 2023-06-23,
AMD-000712,2023-06-23,WL-01762,LOA,Length Overall (LOA),33.5,34.3,HB-COUNTER-2,MC-2023-0225,Y,day log 2023-06-23,
AMD-000713,2023-06-24,WL-02050,OWNER_ADDRESS,Owner Address,"4911 Wilkerson Mountains, Port Angeles, WA","5055 Catherine Ports, Aberdeen, WA",HB-COUNTER-2,insurance decl page,N,day log 2023-06-24,
AMD-000714,2023-06-24,WL-01959,LOA,Length Overall (LOA),32.3,34.6,HB-COUNTER-2,Foldview Marine Services haul-out sheet 2023-01-12,Y,day log 2023-06-24,
AMD-000715,2023-06-26,WL-02982,VESSEL_NAME,Vessel Name,KESTREL LINE,SALISH QUEEN,HB-COUNTER-2,bill of sale,N,day log 2023-06-26,
AMD-000716,2023-06-29,WL-03353,FLAG,Flag State,FIBERGLASS,CRUISER,HB-COUNTER-2,registration,N,day log 2023-06-29,
AMD-000717,2023-06-30,WL-03566,ENGINE_HP,Engine Horsepower,210,110,HB-COUNTER-2,driver's license,N,day log 2023-06-30,
AMD-000718,2023-07-01,WL-03811,VESSEL_TYPE,Vessel Type,FIBERGLASS,SAIL_MONO,HB-COUNTER-2,bill of sale,N,day log 2023-07-01,
AMD-000719,2023-07-01,WL-02819,YEAR_BUILT,Year Built,1987,1987,HB-COUNTER-2,owner declaration at counter,N,day log 2023-07-01,
AMD-000720,2023-07-01,WL-03131,YEAR_BUILT,Year Built,1982,1982,HB-COUNTER-2,,N,day log 2023-07-01,
AMD-000721,2023-07-01,WL-03267,FLAG,Flag State,US,ELECTRIC,HB-COUNTER-2,registration,N,day log 2023-07-01,
AMD-000722,2023-07-01,WL-02554,VESSEL_NAME,Vessel Name,KESTREL BAY,SALISH LIGHT,HB-COUNTER-2,registration,N,day log 2023-07-01,
AMD-000723,2023-07-02,WL-02848,VESSEL_TYPE,Vessel Type,CA,SAIL_MULTI,HB-COUNTER-2,owner declaration at counter,N,day log 2023-07-02,
AMD-000724,2023-07-02,WL-01298,OFFICIAL_NUM,Official Number / Registration,885554,211402,HB-COUNTER-2,registration,N,day log 2023-07-02,
AMD-000725,2023-07-03,WL-01122,YEAR_BUILT,Year Built,1969,1969,HB-COUNTER-2,owner declaration at counter,N,day log 2023-07-03,
AMD-000726,2023-07-04,WL-03707,VESSEL_TYPE,Vessel Type,FIBERGLASS,WOOD,HB-COUNTER-2,insurance decl page,N,day log 2023-07-04,
AMD-000727,2023-07-05,WL-02222,OFFICIAL_NUM,Official Number / Registration,855555,712722,HB-COUNTER-2,insurance decl page,N,day log 2023-07-05,
AMD-000728,2023-07-05,WL-02914,ENGINE_MAKE,Engine Make / Model,POWER_OUTBOARD,POWER_INBOARD,HB-COUNTER-2,driver's license,N,day log 2023-07-05,
AMD-000729,2023-07-05,WL-03732,BEAM,Beam (Width),14.8,15.2,HB-COUNTER-2,MC-2023-0765,Y,day log 2023-07-05,
AMD-000730,2023-07-06,WL-02712,BEAM,Beam (Width),9.3,9.6,HB-COUNTER-2,MC-2023-0726,Y,day log 2023-07-06,
AMD-000731,2023-07-06,WL-03628,NET_TONNAGE,Net Tonnage (NT),23.2,21.4,HB-COUNTER-2,MC-2023-0245,Y,day log 2023-07-06,
AMD-000732,2023-07-07,WL-02734,BEAM,Beam (Width),10.2,9.5,HB-COUNTER-2,MC-2023-0471,Y,day log 2023-07-07,
AMD-000733,2023-07-08,WL-02530,OWNER_NAME,Owner Name,SAIL_MULTI,FIBERGLASS,HB-COUNTER-2,,N,day log 2023-07-08,
AMD-000734,2023-07-08,WL-02312,OFFICIAL_NUM,Official Number / Registration,841916,882117,HB-COUNTER-2,insurance decl page,N,day log 2023-07-08,
AMD-000735,2023-07-09,WL-01377,OWNER_ADDRESS,Owner Address,"9438 Marsh Ford, Aberdeen, WA","3769 Padilla Field, Olympia, WA",HB-COUNTER-2,registration,N,day log 2023-07-09,
AMD-000736,2023-07-09,WL-01713,OFFICIAL_NUM,Official Number / Registration,596043,251090,HB-COUNTER-2,registration,N,day log 2023-07-09,
AMD-000737,2023-07-09,WL-02991,YEAR_BUILT,Year Built,1978,1978,HB-COUNTER-2,owner declaration at counter,N,day log 2023-07-09,
AMD-000738,2023-07-10,WL-02751,VESSEL_NAME,Vessel Name,SCOTER SONG,SPINDRIFT SOUND,HB-COUNTER-2,,N,day log 2023-07-10,
AMD-000739,2023-07-12,WL-02086,HULL_MATERIAL,Hull Material,CRUISER,ELECTRIC,HB-COUNTER-2,insurance decl page,N,day log 2023-07-12,
AMD-000740,2023-07-15,WL-01675,VESSEL_TYPE,Vessel Type,CRUISER,WOOD,HB-COUNTER-2,driver's license,N,day log 2023-07-15,
